pollster,poll_date,ppp_pct,pml_n_pct,pti_pct,jui_f_pct,independent_pct,sample_size,source
Pulse Consultant,2020-11-08,26.0,14.0,35.0,4.0,12.0,1423,research_pack
Gallup Pakistan,2020-11-06,24.0,14.0,27.0,4.0,12.0,1000,research_pack
