constituency_id,election_year,rank,candidate_name,party,votes,vote_share_pct,vote_share_pct_imputed,won,source,source_url,fetched_at,candidate_id
GBA-11,2015,6,Muzaffar Hussain,APML,12.0,0.09,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached,muzaffar-hussain
GBA-11,2015,7,Niaz Ali,PPP,9.0,0.07,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached,niaz-ali
GBA-11,2015,8,Ghulam Muhhamd Parvi,Independent,3.0,0.02,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached,ghulam-muhhamd-parvi
GBA-11,2020,1,Syed Amjad Ali Zaidi,PTI,6858.0,77.28,True,True,wikipedia_constituency_page+wikipedia_2020_summary,https://en.wikipedia.org/wiki/GBA-11_Kharmang,cached,amjad-ali-zaidi
GBA-11,2020,2,Syed Muhsin Rizvi,Independent,2016.0,22.72,True,False,wikipedia_2020_summary,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,muhsin-rizvi
GBA-12,2009,1,Raja Muhammad Azam Khan,MQM,10520.0,54.4,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached,muhammad-azam-khan
GBA-12,2009,2,Imran Nadeem,PPP,8818.0,45.59,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached,imran-nadeem
GBA-12,2015,1,Imran Nadeem,PPP,10422.0,46.05,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached,imran-nadeem
GBA-12,2015,2,Raja Azam Khan,PML-N,9930.0,43.88,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached,muhammad-azam-khan
GBA-12,2015,3,Dr Muhammad Ali,MWM,2183.0,9.65,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached,muhammad-ali
GBA-12,2015,4,Abid Hussain,PAT,97.0,0.43,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached,abid-hussain
GBA-12,2020,1,Raja Azam Khan Amacha,PTI,10674.0,41.84,True,True,wikipedia_2020_summary+wikipedia_constituency_page,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,azam-khan-amacha
GBA-12,2020,2,Imran Nadeem,PPP,8919.0,34.96,True,False,wikipedia_constituency_page+wikipedia_2020_summary,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached,imran-nadeem
GBA-12,2020,3,Muhammad Tahir,PML-N,5433.0,21.29,True,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached,muhammad-tahir
GBA-12,2020,4,Muhammad Hassan,PML-Q,488.0,1.91,True,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-12_Shigar,cached,muhammad-hassan
GBA-13,2009,1,Abdul Hameed Khan,PPP,3771.0,37.77,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,abdul-hameed-khan
GBA-13,2009,2,Rana Farman Ali,PML-N,3546.0,35.52,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,rana-farman-ali
GBA-13,2009,3,Khalid Khurshid,Independent,2667.0,26.71,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,khalid-khurshid
GBA-13,2015,1,Rana Farman Ali,PML-N,5942.0,36.95,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,rana-farman-ali
GBA-13,2015,2,Khalid Khurshid,Independent,4019.0,24.99,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,khalid-khurshid
GBA-13,2015,3,Abdul Hameed Khan,PPP,3808.0,23.68,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,abdul-hameed-khan
GBA-13,2015,4,Ghulam Abbas,Independent,1750.0,10.88,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,ghulam-abbas
GBA-13,2015,5,Ghulam Akbar,MWM,453.0,2.82,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,ghulam-akbar
GBA-13,2015,6,Sanaullah,PTI,49.0,0.31,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,sanaullah
GBA-13,2015,7,Inayatullah Mir,JUI-F,4.0,0.03,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,inayatullah
GBA-13,2020,1,Khalid Khurshid,PTI,5297.0,32.5,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,khalid-khurshid
GBA-13,2020,2,Muhammad Khalid Khurshid Khan,PTI,4836.0,24.22,True,False,wikipedia_2020_summary,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,muhammad-khalid-khurshid-khan
GBA-13,2020,3,Rana Farman Ali,PML-N,4033.0,24.75,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,rana-farman-ali
GBA-13,2020,4,Abdul Hameed Khan,PPP,3546.0,21.75,False,False,wikipedia_constituency_page+wikipedia_2020_summary,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,abdul-hameed-khan
GBA-13,2020,5,Ghulam Abbas,Independent,2251.0,13.81,False,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-13_Astore-I,cached,ghulam-abbas
GBA-14,2009,1,Muhammad Naseer,PPP,1915.0,100.0,True,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-14_Astore-II,cached,muhammad-naseer
GBA-14,2015,1,Barkat Jamil,PML-N,,,False,True,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-14_Astore-II,cached,barkat-jamil
GBA-14,2020,1,Shamsul Haq,PTI,5354.0,38.07,True,True,wikipedia_2020_summary,https://en.wikipedia.org/wiki/2020_Gilgit-Baltistan_Assembly_election,cached,shamsul-haq
GBA-14,2020,2,Shamsul Haq Lone,PTI,5237.0,37.24,True,False,wikipedia_constituency_page,https://en.wikipedia.org/wiki/GBA-14_Astore-II,cached,shamsul-haq-lone
