constituency_id,election_year,rank,candidate_name,party,votes,vote_share_pct,won,source_url,fetched_at
GBA-3,2020,4,Aftab Haider,Pakistan Peoples Party,3799,,False,https://en.wikipedia.org/wiki/GBA-3_Gilgit-III,cached
GBA-3,2020,5,Zulfiqar Ali Tatu,Pakistan Muslim League (N),2726,,False,https://en.wikipedia.org/wiki/GBA-3_Gilgit-III,cached
GBA-3,2020,6,Sanan Ahmad,Independent,1821,,False,https://en.wikipedia.org/wiki/GBA-3_Gilgit-III,cached
GBA-3,2020,7,Sher Ghazi,Independent,1136,,False,https://en.wikipedia.org/wiki/GBA-3_Gilgit-III,cached
GBA-3,2020,8,Muhammad Nafees,Independent,256,,False,https://en.wikipedia.org/wiki/GBA-3_Gilgit-III,cached
GBA-3,2020,9,Maulana Akbar Hussain,Pak Sarzameen Party,180,,False,https://en.wikipedia.org/wiki/GBA-3_Gilgit-III,cached
GBA-4,2009,1,Muhammad Ali Akhtar,PPP,3890,34.26,True,https://en.wikipedia.org/wiki/GBA-4_Nagar-I,cached
GBA-4,2009,2,Muhammad Ali,Independent,3717,32.74,False,https://en.wikipedia.org/wiki/GBA-4_Nagar-I,cached
GBA-4,2009,3,Fida Hussain,Independent,2126,18.72,False,https://en.wikipedia.org/wiki/GBA-4_Nagar-I,cached
GBA-4,2009,4,Muhammad Hassan,MQM,821,7.23,False,https://en.wikipedia.org/wiki/GBA-4_Nagar-I,cached
GBA-4,2009,5,Fida Ali,Independent,746,6.57,False,https://en.wikipedia.org/wiki/GBA-4_Nagar-I,cached
GBA-4,2015,1,Doctor Muhammad Ali Haidar,ITP,5039,37.16,True,https://en.wikipedia.org/wiki/GBA-4_Nagar-I,cached
GBA-4,2015,2,Kashif Ali,PPP,4091,30.17,False,https://en.wikipedia.org/wiki/GBA-4_Nagar-I,cached
GBA-4,2015,3,Ali Muhammad,MWN,3014,22.22,False,https://en.wikipedia.org/wiki/GBA-4_Nagar-I,cached
GBA-4,2015,4,Haji Fida Hussain,PML-N,1361,10.04,False,https://en.wikipedia.org/wiki/GBA-4_Nagar-I,cached
GBA-4,2015,5,Muhammad Javid,PTI,46,0.34,False,https://en.wikipedia.org/wiki/GBA-4_Nagar-I,cached
GBA-4,2015,6,Muhammad Ali Akhtar,Independent,11,0.08,False,https://en.wikipedia.org/wiki/GBA-4_Nagar-I,cached
GBA-5,2009,1,Mirza Hussain,PML(Q),1890,35.6,True,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
GBA-5,2009,2,Zulfiqar Ali Murad,PPP,1739,32.76,False,https://en.wikipedia.org/wiki/GBA-5_Nagar-II,cached
